Open,High,Low,Close,Adj Close,Volume,company_name
32.5,33.900001525878906,32.5,32.95000076293945,32.95000076293945,1913920,COFFEEDAY
32.79999923706055,33.25,32.20000076293945,32.54999923706055,32.54999923706055,896676,COFFEEDAY
32.54999923706055,32.849998474121094,31.649999618530273,31.799999237060547,31.799999237060547,804523,COFFEEDAY
31.850000381469727,33.25,30.899999618530273,32.04999923706055,32.04999923706055,2097443,COFFEEDAY
32.099998474121094,32.20000076293945,31.799999237060547,32.0,32.0,577064,COFFEEDAY
32.099998474121094,32.70000076293945,31.850000381469727,32.04999923706055,32.04999923706055,850427,COFFEEDAY
32.0,33.79999923706055,31.799999237060547,32.20000076293945,32.20000076293945,1781701,COFFEEDAY
32.20000076293945,32.79999923706055,32.0,32.150001525878906,32.150001525878906,819681,COFFEEDAY
32.0,33.25,32.0,32.70000076293945,32.70000076293945,1192308,COFFEEDAY
32.95000076293945,33.900001525878906,32.900001525878906,33.400001525878906,33.400001525878906,1507992,COFFEEDAY
33.29999923706055,35.45000076293945,33.20000076293945,34.650001525878906,34.650001525878906,2837009,COFFEEDAY
34.849998474121094,35.400001525878906,33.54999923706055,33.75,33.75,1906798,COFFEEDAY
33.650001525878906,34.25,32.70000076293945,33.20000076293945,33.20000076293945,1372503,COFFEEDAY
33.29999923706055,34.04999923706055,33.25,33.70000076293945,33.70000076293945,828785,COFFEEDAY
33.79999923706055,34.04999923706055,32.54999923706055,32.849998474121094,32.849998474121094,970282,COFFEEDAY
33.04999923706055,33.45000076293945,32.400001525878906,33.25,33.25,749334,COFFEEDAY
33.900001525878906,34.70000076293945,33.599998474121094,33.79999923706055,33.79999923706055,1811527,COFFEEDAY
33.79999923706055,34.400001525878906,33.70000076293945,34.25,34.25,1299651,COFFEEDAY
36.5,39.900001525878906,35.54999923706055,37.45000076293945,37.45000076293945,19605277,COFFEEDAY
37.79999923706055,38.5,36.20000076293945,36.650001525878906,36.650001525878906,4467034,COFFEEDAY
36.95000076293945,37.900001525878906,36.5,37.5,37.5,2969802,COFFEEDAY
37.650001525878906,38.150001525878906,36.29999923706055,36.54999923706055,36.54999923706055,2338764,COFFEEDAY
